MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,RainTomorrow
16.8,19.9,80,26.3,72,1025.9,18.3,yes
17.2,21.7,50,15.3,81,1022,18.9,yes
18,20.3,40,14.2,95,1019.7,19.3,yes
19.1,22.3,50,16.9,90,1018.9,20.6,yes
20.2,21.3,40,13.7,95,1015.9,20.7,yes
19.2,24.3,20,14.5,84,1018.8,20.9,yes
17,21.4,30,21.5,79,1021.8,18.8,no
16.5,21,60,14.3,78,1020.8,18.4,no
17.1,18.9,70,39.3,78,1020.6,18.1,no
17.2,18.5,70,37.7,85,1017.5,18,yes
16.5,20.4,40,23.3,90,1016.5,18.1,yes
16.1,18.5,20,23.9,79,1019.9,17.3,no
14.2,18.7,30,24.4,77,1020.8,16.1,no
15.6,17.5,60,33.2,79,1019.3,16.5,yes
14.5,16.1,50,37.5,97,1015.4,15.1,yes
15.5,17.1,60,40,95,1013.5,16.4,yes
14.8,20.6,20,23.4,90,1011.5,17.8,yes
11.9,17.8,50,28.4,76,1017.1,15.2,no
15.3,17.6,60,38,78,1020.1,16.4,no
14.8,16.8,70,50.6,90,1019.6,15.5,yes
15.1,17.1,50,26.2,95,1017.7,16.1,yes
10.3,16.2,50,35.3,92,1018.9,14.1,yes
7,10.4,20,55.5,70,1027.1,8.5,yes
3.1,7.1,20,59.5,61,1034.6,4.9,yes
4.3,10.8,20,28.7,46,1032.6,7.4,no
8.1,13.5,20,21.3,59,1027.1,10.4,yes
9.8,15.3,20,29.6,92,1022.7,13,yes
14.8,17.4,60,28.8,98,1018.2,16.1,yes
15.9,17.4,50,25,96,1017.9,16.6,yes
16.2,19.9,50,21.2,88,1020,17.6,no
15.3,16.2,70,43.1,86,1019.9,15.7,yes
10.7,15.6,20,31.9,93,1022.2,12.4,yes
9.4,11.2,10,27.3,79,1024.4,10.4,yes
10.3,14.3,40,21.3,77,1023.6,12.5,yes
13.3,18.8,40,9.1,76,1021.8,15.2,no
12.3,18.6,20,24.4,66,1021.2,14.8,no
11.2,17.4,20,44.7,39,1024.9,13.6,no
9.9,18.1,20,20.5,36,1026.1,13.7,no
11.6,19.6,40,16.7,52,1023.9,14.8,no
12.7,21.2,40,17.2,54,1020.8,16.7,no
15.3,17.3,40,22,64,1017.5,16.6,yes
17.2,22.4,40,15.8,86,1014.9,18.8,yes
17.6,21.6,30,13.9,95,1013.4,19.2,yes
21.3,25.9,200,10.2,89,1012.5,23.1,no
17.4,24.6,20,15.3,81,1014.8,21.7,yes
11.4,17.5,20,33.5,64,1024.3,13.2,yes
10.9,15.1,20,23.5,63,1025.4,12.8,no
11.6,14.4,20,19.2,77,1024.1,12.9,yes
11.7,15,40,18.6,89,1021.9,13.7,yes
14.6,16.3,40,22.2,88,1020.3,15.3,yes
12.5,20.1,20,23.9,67,1023.2,16,yes
14.7,15.9,70,44.7,77,1022.2,15,yes
14.6,17.6,50,24.4,91,1020.6,16.1,yes
13.7,16.7,20,19.3,92,1022.3,15.5,yes
12.3,15.5,20,28,78,1027.5,13.7,yes
13.5,16.8,20,20.4,76,1028.9,14.8,no
14,17.6,30,15.2,79,1027.4,15.2,yes
13.8,17.5,20,9.1,79,1024.7,15.5,yes
13.3,20.9,20,9.2,72,1023.8,16.6,no
14.4,24.8,40,16.9,61,1024.4,18.5,no
14.6,19.7,70,34.2,73,1024.7,16.5,no
14.4,20.6,60,27.1,72,1023.8,16.6,no
15.4,23.8,40,14.7,75,1020.9,18.7,no
18.1,23.2,40,15.4,82,1018.1,20.2,no
19.2,23.1,30,13.3,79,1016.7,20.8,yes
19.2,25.9,220,6.6,79,1015.8,21.8,no
18.9,21.3,40,13.8,91,1014.9,19.7,yes
18.9,21.5,40,15.3,93,1012.5,20.1,no
17.1,22.9,50,15.1,95,1012.5,20.8,yes
10,17.2,20,39.7,93,1019.5,13.4,yes
10,14.3,20,25,77,1022.6,11.9,yes
12.7,14.5,50,36,87,1017.7,13.6,yes
14.4,17,50,22.8,96,1014.5,15.8,yes
14.2,16.5,20,26.7,83,1018,15.3,yes
14,15.5,70,38,79,1017.1,14.8,yes
14.1,16.3,60,33.2,90,1015,15.3,yes
15.6,17.4,50,26.5,97,1014.3,16.5,yes
17.2,21.9,30,13.1,97,1012,19.5,yes
20.3,24.9,40,12.5,94,1013,22.4,yes
17.6,23.1,50,28,91,1014.7,19,yes
16.4,18.2,60,38.3,95,1014.8,17.1,yes
15.9,17.3,50,33.5,96,1013.4,16.6,yes
17.1,20.6,40,22,97,1012.8,18.4,yes
12.7,17.7,70,42,98,1020.2,15.3,yes
11.6,15.7,20,19.4,75,1023.9,13.7,yes
12.6,20.2,70,13.4,68,1023.6,15.8,no
14.6,22.4,30,14.6,58,1024.1,17.3,no
15.2,19.9,60,26.9,65,1024.1,16.9,no
15.7,19.4,50,20.5,59,1021.4,17.7,yes
18.4,22.2,40,14.8,79,1018.3,20,yes
19.1,25.5,50,4.5,86,1015.3,21.5,no
19.9,25.3,50,8.3,86,1014.5,21.9,no
19.8,23.8,40,14.5,90,1015.6,21.3,yes
21,26.5,50,9.2,87,1014.6,23,no
20.7,28.1,120,8,88,1012.5,23.6,yes
20.7,24.4,40,14.8,91,1013.3,22.3,yes
21.5,26.5,70,20,91,1013.3,23.1,no
22.4,26.9,40,10,91,1013.2,23.9,no
23.2,27.9,40,9.1,87,1013.3,25.3,yes
24.4,27.5,200,17.3,86,1011.6,25.7,yes
21.3,26.3,190,20.5,92,1009.2,23.3,yes
20.1,22.8,70,31.8,91,1010.1,21.5,yes
19.9,21.3,70,29.8,94,1009.1,20.3,yes
20.9,25.1,40,14.5,98,1005.5,21.8,yes
21.6,25.2,30,11.2,98,1008.5,23.1,yes
20.6,23.5,30,20,97,1011.4,21.1,yes
20.6,28.1,210,15.3,89,1010.5,24.7,yes
24.1,27.5,190,16,90,1010.9,25.9,yes
20.1,26.7,80,19.6,87,1014.4,23.1,yes
20.1,21.8,70,35.3,86,1017.4,20.5,yes
20.2,22.9,40,20.9,88,1014.6,21.6,yes
22,28.4,30,7.3,87,1012.5,24.6,yes
21,26.1,300,11.1,90,1010.7,23.7,yes
22.6,27.7,240,13,88,1008.2,24.9,yes
23.2,26.1,190,8.5,93,1008.7,24.4,yes
23.9,28.4,180,13,90,1009.8,26,yes
26,28.5,200,24.2,86,1009.5,27.2,yes
25.4,29.1,230,20.2,85,1008.2,26.8,yes
24.7,28.2,50,12.5,84,1010.4,26,yes
22.9,26.3,90,30.5,76,1013.9,24.1,yes
20.8,23.4,60,27,80,1012.2,22.5,yes
20.4,23.4,50,23.7,92,1011.5,22.2,yes
22.8,29.8,50,11.1,89,1011,25.6,yes
22.8,30.8,220,11.8,86,1011.4,26.5,yes
23.2,28.2,40,9.2,87,1011.4,25.8,yes
26.2,30.9,180,15.4,84,1010.5,28.1,no
27.2,30.5,190,15.5,83,1009.9,28.4,no
27.1,31,170,12.1,81,1010.6,28.7,no
27.3,31.2,150,9.5,82,1011.4,28.7,no
26.9,30.6,170,16.3,81,1010.1,28.7,no
23.7,28.4,220,12,87,1008.1,26.6,yes
23.4,28.8,80,26,75,1008.6,25.5,no
23.7,27.6,70,28.6,80,1009.8,25.1,yes
24.4,27.8,50,24.9,82,1012.4,25.5,yes
24,27.7,70,28.3,89,1014.2,25.4,yes
24.4,29.8,50,15.7,85,1012.1,26.6,yes
22.5,27.1,10,21.9,73,1011.2,24.8,yes
23.2,24.6,80,39.5,80,1012.3,23.7,yes
23.4,26.3,70,30.3,76,1012,24.5,no
24,28.1,70,26.4,84,1009.9,25.5,yes
24.3,26.2,40,22.3,94,1006.9,25.2,yes
24.7,28.3,230,25.9,88,1005.9,26.5,yes
25.3,30.8,20,11.3,77,1007.8,27.2,no
24.8,28.9,20,7.9,81,1008.4,26.8,yes
25.4,30.7,180,7.4,82,1007.9,27.5,yes
26.2,30.9,100,16.2,82,1007.8,28,yes
26.7,29.5,70,34.8,85,1007.6,27.6,yes
26,29.1,130,32.5,89,1006.4,27.5,yes
24.5,30.3,200,24,89,1007.6,27.7,yes
27.2,31,210,19,84,1007.9,29.1,yes
28,32.1,220,22.8,80,1008.8,29.8,yes
28.7,31.8,220,25.2,79,1009.5,29.9,no
28.6,32.8,230,31.7,80,1007.8,30.1,no
28.7,33,230,27.4,79,1006,30.3,no
29,32.4,220,28.8,80,1006.5,30.3,yes
24.7,33.8,220,20.8,83,1007.9,28.7,yes
25,30.4,20,9.8,86,1008.8,26.9,yes
24.8,29.1,20,11.2,91,1008.8,26.2,yes
26.3,30.7,20,9.5,86,1008.1,28.1,yes
24.1,30,190,12.6,89,1006.3,27.1,yes
26.6,31.7,,,86,1005.7,28.2,yes
26.6,31.1,220,14.6,89,1005.7,27.9,yes
25.4,27.8,230,20,93,1005.9,26.6,yes
25.4,29.2,220,29.8,93,1005.7,27.1,yes
28.5,31.5,220,24.3,84,1005,29.7,yes
29.2,31.7,220,30,81,1004.2,30.2,yes
29.3,32,210,29.3,79,1005.3,30.3,yes
28.2,31.4,230,23.2,82,1006.7,29.4,yes
26.7,32.1,220,12.8,82,1008.2,29.4,yes
27.7,30.8,200,19.8,83,1010.5,29.3,yes
27.8,34.2,130,12.4,80,1010.3,30.1,no
28.6,34.4,170,12.1,78,1008.5,30.8,yes
28.7,33.7,200,12.6,75,1009.3,30.6,no
28.5,33.7,220,10.9,75,1009.5,30.5,no
28.4,34.1,210,9.6,72,1008.4,30.4,no
28.8,35.2,180,9,72,1008.1,31,no
28.9,35.5,150,9.1,74,1008.9,31.4,no
29.4,35.1,160,11.9,75,1009.1,31.3,yes
28.6,35.1,60,15.7,78,1007.5,31.1,yes
26.3,32.3,220,26.1,85,1007.5,29.1,yes
27.5,33.3,160,23.4,87,1010,29,yes
27.8,33.1,190,24.4,80,1010.3,30,yes
27.7,33,190,21.9,79,1008.9,30.1,yes
26.9,32,200,21.9,82,1009.1,29.4,yes
27.3,31.5,190,25.1,82,1008.7,29.4,yes
28,33,180,33,78,1006.6,30.1,yes
25.8,32.6,130,22.5,87,1007.5,29,yes
24.7,28.8,130,24.8,93,1008.4,27.3,yes
27.9,34,270,11.3,77,1005.9,30.2,yes
28.1,34.2,280,23.5,75,1001,31,no
26.4,35.6,280,25,75,999,31.5,yes
26.2,31.3,240,18.8,81,1000.3,28.6,yes
26.1,31.1,240,19.8,85,1002.2,28.9,yes
27,29,230,16.3,84,1003.8,28.1,yes
25.6,31.7,160,12.6,87,1005,28.6,yes
26.4,30.3,230,14.3,86,1006.8,28.9,yes
28.6,33,230,22.4,81,1007,30.2,yes
29,33.2,240,25.1,79,1008.1,30.6,yes
29,33.2,230,23.7,78,1008.5,30.6,no
28.7,32.4,230,23.7,74,1007.5,30.4,yes
26.7,32.3,220,25.1,79,1007.9,29.9,yes
25.6,31.9,220,22.6,82,1009.8,29.2,yes
27.5,33.3,220,12.3,76,1010.9,30,yes
28.1,32.9,240,14.5,76,1010.3,30,no
28,32.8,250,21.6,77,1008.9,30,no
28,34,240,16,72,1008.4,30.4,no
28.3,35,130,8.3,74,1008.6,30.8,no
27,32,60,17.5,84,1008.3,29.4,yes
28,33.4,200,9.5,76,1009.3,30.2,yes
28.1,32.9,240,12.8,74,1009.7,30.1,no
27.6,33.7,260,21.9,74,1008.5,30.3,no
28.7,33.5,270,16.1,74,1006.6,29.9,yes
27,33.9,50,14.1,74,1005.1,30.1,yes
26.9,32.2,20,11.8,78,1011.2,28.9,no
26.8,32.3,100,9.8,78,1011.6,28.9,no
27.3,33.3,20,5.5,75,1010.6,29.5,no
26.8,33.3,10,4.4,74,1008.3,29.4,no
27.6,33.3,220,8.7,74,1006.1,29.6,no
27.8,33.1,220,6.1,72,1005.3,30.1,no
28.2,33.3,290,10.9,72,1003.4,30.7,no
30,36.3,290,17.2,62,998.5,32.4,no
26.9,34.7,220,26.4,71,998.5,31,yes
25.1,30.6,230,20.2,85,1004.5,28.1,yes
26.3,32.8,220,13.9,81,1007.3,29.2,yes
27.8,33.7,220,11.9,79,1007.9,30,yes
26.4,29.6,230,22.9,87,1007.9,28,yes
25.6,28.8,210,12.9,90,1007.4,26.9,yes
24.9,28.6,220,14.2,89,1008.5,27,yes
26.9,31.2,230,18,86,1008.5,29.2,yes
28.3,32.4,230,20.5,83,1008.2,29.9,yes
28.4,33.8,220,18.1,78,1008,30.2,yes
28.1,32.8,230,16.6,77,1007.7,30.1,no
26.8,31.2,270,6.9,84,1006.3,29.1,yes
26.9,33.4,350,13.6,77,1002.2,30,no
28.4,32,10,12,71,1000.1,30.2,yes
28,32.9,220,11.7,69,1000,30.6,yes
28.3,33.2,10,11,70,1002.4,30.7,no
27.9,34.4,10,10.7,65,1005.5,30.6,no
27.8,31.7,40,16.4,81,1008.1,28.9,yes
27,32.4,200,12,79,1008.1,29,no
26.9,31.2,210,8.9,79,1006.5,28.3,yes
26.5,29.6,230,11,84,1006.2,27.8,yes
25.8,27.9,220,5.9,92,1006.8,26.6,yes
25.8,29,40,5.7,87,1007.4,27.4,yes
25.7,28.9,50,8.6,89,1007.8,27.4,yes
24.5,27.7,110,16.5,94,1010.9,25.8,yes
25.8,29,60,18.2,90,1013,27.6,yes
27,32.9,80,9.8,82,1013.1,29.1,no
27.2,31.9,220,11.7,78,1011.1,29.3,no
27.8,32.3,240,24.9,79,1008.1,29.6,no
26.7,29.6,250,21.3,87,1007.2,28.3,yes
26.4,30.7,60,29,75,1009.4,27.9,no
26.5,31.2,70,26.2,74,1012,28.2,yes
26.5,31.3,60,24.5,75,1012.7,28.1,no
26.8,31,100,21.4,77,1011.1,28.1,yes
26.2,30.5,90,22.6,76,1011.5,27.9,yes
25.8,31.2,50,39.9,68,1013,28,no
25.9,31.4,60,41.3,71,1012.2,28,no
26.5,31.9,70,39.5,73,1011.3,28.6,no
26.9,31,70,32.2,81,1011.9,28.1,yes
27.1,30.6,70,27.4,79,1014.6,28.2,yes
26.8,31.8,70,14.5,77,1015,28.5,yes
26.8,30.6,180,8.1,79,1012.2,28.3,no
27.1,31.1,200,14.5,78,1009.3,28.7,yes
25.5,28.7,190,11.9,81,1008.6,27.4,yes
26.3,31,110,14.8,86,1009.9,28.1,yes
27.3,32,110,10.2,81,1009.1,28.9,yes
27.4,32,230,17.3,77,1006.7,29.3,no
28.1,32.2,230,20.5,78,1004.9,29.7,no
26.9,32.2,90,14,87,1006.7,28.7,yes
26.5,30.2,90,15.1,85,1008.2,27.8,yes
25.8,32.8,10,16.4,61,1006.7,29,no
27.4,31.3,230,15.5,56,1005.6,29.7,no
28.2,32.7,140,12.7,75,1011,29.8,yes
26.4,31.7,30,7.9,81,1013,28.8,yes
26.5,31.6,10,30.6,76,1012.4,27.9,yes
24.2,29.7,60,52.8,83,1011.7,26.8,yes
24.9,27.8,120,50.7,92,1013.2,26.7,yes
25.4,27.8,100,37,93,1015.2,26.7,yes
25.3,26.8,100,30.4,97,1014.1,26,yes
25,27.6,140,12.5,92,1012.7,26.4,yes
26.1,30,300,13,76,1010.5,27.8,no
24.8,29.4,20,20.4,70,1011.3,26.8,yes
21.1,26.6,20,30.2,77,1013.7,24.3,yes
18.5,22.1,20,38.3,78,1018,20.5,yes
21,24.9,50,28.2,67,1019,23.1,yes
23.3,27.8,70,32.4,70,1018.7,25.1,yes
23.1,28.2,70,23.9,75,1017.4,25,no
23.1,28.7,90,14.1,76,1015.2,25.2,no
23.3,29.4,30,9.9,73,1013.8,25.8,no
23.6,30.8,70,12.4,69,1013.4,26.2,no
23.5,29.1,60,8.9,70,1012.5,25.5,no
23.1,28.2,20,17.3,59,1010.2,25.3,no
23.8,29.1,10,17.2,58,1008.3,26.2,no
24.3,29.2,10,13.2,65,1010.2,26.4,yes
25.3,30.6,120,9.2,70,1012,27,no
24.8,30.7,80,9.9,73,1013,27,no
24.9,29.6,80,19.7,76,1015,26.8,yes
25.4,26.6,80,37.5,77,1016.8,25.9,yes
24.5,26.2,80,28.9,83,1016.8,25.4,yes
24.3,30.1,60,10.3,77,1015.6,26.5,no
25.5,29.2,110,15.8,82,1017,26.7,yes
25.5,28.4,90,24.2,81,1018.2,26.4,yes
25.3,29.6,100,16.5,81,1017.8,26.7,no
24.4,27.2,80,40.8,79,1020.4,25.6,yes
20.5,24.5,20,29.6,73,1020.9,22.9,no
19.7,26,20,22.5,67,1019.8,22.6,yes
22.3,25.8,70,32.9,74,1019.5,23.7,yes
23.1,26.6,80,29.8,77,1018.1,24.7,yes
24.5,28.2,70,28.3,80,1016.1,25.8,yes
24.7,26.3,80,30.2,83,1015.6,25.5,yes
25.2,28.4,80,24.8,85,1016.3,26.2,yes
25.5,28.7,70,18,84,1016.4,26.5,yes
24.8,30.3,50,12.8,82,1015.8,26.7,yes
24,25.9,80,46.3,81,1016.9,24.9,yes
22.6,25.4,80,43.8,82,1017.7,23.8,yes
23.6,24.2,80,41.4,84,1017.3,23.9,yes
21,25.3,80,29.7,92,1015.2,23.3,yes
22.3,26.9,30,13.8,83,1014.5,24.3,yes
23.5,24.8,80,35.8,89,1015.2,24.2,yes
23.6,25.9,80,25.5,93,1013.7,24.8,yes
24.4,27.2,80,17.2,90,1013.9,25.5,no
24.1,29.1,80,7.9,84,1016,26.1,no
24.5,28.5,70,22.1,84,1017,25.9,yes
24.4,25.9,80,30.6,82,1017.2,24.8,yes
23.9,26,70,40.4,80,1017,24.8,no
24,27.6,80,29.2,78,1017.1,25.4,yes
23.7,28.4,90,19.6,78,1016.7,25.4,no
23.3,26.6,70,31.2,76,1016.7,24.5,yes
18.2,25.3,20,28.6,70,1017.7,22.6,no
15.8,21.2,20,34.3,52,1020.6,18.2,no
15.3,20.4,60,39.3,57,1022.4,18.4,no
19.2,22.9,70,34,70,1022.5,20.8,no
20.3,24.1,60,16,75,1021.2,22.1,no
20.4,25.2,100,15.7,75,1018.9,22.4,yes
22,25.1,70,25,79,1017.6,22.9,no
22.2,25,70,15.9,80,1017.1,23.3,yes
19.6,22.3,20,27.9,77,1019.4,20.8,yes
18.4,21,50,37.9,75,1021.1,19.5,yes
15.7,20.3,70,41.3,85,1018.4,18.4,yes
15.4,18.1,10,28.4,76,1021.3,16.6,yes
15.4,19.3,10,21.8,72,1023.1,17.3,no
17,19,30,28.5,78,1022.2,18,yes
16.9,18.9,60,35.1,95,1016.8,17.7,yes
17.6,20.9,20,10.2,86,1015.5,19.3,yes
17.9,23,60,20.7,76,1016.4,19.9,no
19.4,20.7,70,39.5,83,1016.2,20,no
19.7,21,70,30.3,85,1016.4,20.4,yes
19.1,21.3,50,20.3,82,1016.6,20.4,yes
16,20.4,10,26.8,69,1019,18.4,yes
13.4,17.2,10,48,49,1022.5,15.2,no
11.5,15.2,20,35.6,39,1025.9,13.2,no
11.3,16.5,40,25.2,48,1026.4,13.9,no
13.8,18.2,30,29,62,1025.4,16.2,no
17,18.6,40,19,75,1022.5,17.6,yes
17.1,21.1,50,22.5,82,1021.3,19.4,yes
18.7,20.6,60,27.3,87,1020.3,19.9,yes
19.8,22.3,40,15,91,1017.8,21.1,yes
21.1,24.7,40,9.4,91,1016.8,22.3,yes
16.1,21.4,10,27.6,75,1020.4,18.2,yes
16.9,19.7,30,21.6,74,1020.6,17.9,no
16.9,18.8,30,18.4,84,1022.7,17.7,yes
16.3,18.6,20,25.9,75,1026.6,17.3,yes
16.4,18.9,70,33.4,75,1025.9,17.7,yes
15.2,19.2,20,20.9,78,1025.3,17.3,yes
15.5,20.5,20,23.3,74,1026.4,17.8,no
